mpn_match,MPN,Title,Images,category,url,description,status
SFLCSGNLA,SFLCSGNLA,"Fiber Optic Connectors, Snap-Fit, LC Duplex, Zircon Sleeves, Green, Light Almond Housing",https://hubbellcdn.com/prodimage1200/WBP_SFLCLA_PRODIMAGE_1200.jpg,"[['Keystone Snap Fit'], []]",/hubbell/en/p/168475?queryID=33cddab3305a9743ed81f4f3d938b591&indexName=Products,"Fiber Optic Connectors, Snap-Fit, LC Duplex, Zircon Sleeves, Green, Light Almond Housing",['DISCONTINUED']
SFFLCSYW,SFFLCSYW,"Keystone Snap Fit, Snap-Fit, Flush, LC-Duplex, Zircon Sleeves, Yellow, White Housing",https://hubbellcdn.com/prodimage1200/WBP_SFFKLCYLW_PRODIMAGE_1200.jpg,"[['Keystone Snap Fit'], []]",/hubbell/en/p/176791?queryID=8da6ccd39508026cbef823c3440b3e1e&indexName=Products,"Fiber Optic Connectors, Snap-Fit, Flush, LC-Duplex, Zircon Sleeves, Yellow, White Housing",[]
SFFSCSYW,SFFSCSYW,"Keystone Snap Fit, Snap-Fit, Flush, SC Simplex, Zircon Sleeves, Yellow, White Housing",https://hubbellcdn.com/prodimage1200/WBP_SFFSCSYW_PRODIMAGE_1200.jpg,"[['Keystone Snap Fit'], []]",/hubbell/en/p/2323302?queryID=caa12e2133a66c9dfbe80db68fb49575&indexName=Products,"Fiber Optic Connectors, Snap-Fit,Flush,SC Simplex, Zircon Sleeves, Yellow, White Housing",[]
SFSCSAQLA,SFSCSAQLA,"Fiber Optic Connectors, Snap-Fit, SC, Simplex, Zircon Sleeves, Aqua, Light Almond Housing",https://hubbellcdn.com/prodimage1200/WBP_SFSCLA_PRODIMAGE_1200.jpg,"[['Keystone Snap Fit'], []]",/hubbell/en/p/2323306?queryID=f3766f45e2b09951a37e97d03cd3578c&indexName=Products,"Fiber Optic Connectors, Snap-Fit, SC,Simplex, Zircon Sleeves, Aqua, Light Almond Housing",['DISCONTINUED']
SFFSCSBEG,SFFSCSBEG,"Keystone Snap Fit, Snap-Fit, Flush, SC Simplex, Zircon Sleeves, Beige, Gray Housing",https://hubbellcdn.com/prodimage1200/WBP_SFFSCG_PRODIMAGE_1200.jpg,"[['Keystone Snap Fit'], []]",/hubbell/en/p/2323275?queryID=ee8b4d97af803b9f385434ca6b4eadaa&indexName=Products,"Fiber Optic Connectors, Snap-Fit,Flush, SC Simplex, Zircon Sleeves, Beige, Gray Housing",[]
SFFSCSBLA,SFFSCSBLA,"Fiber Optic Connectors, Snap-Fit, Flush, SC Simplex, Blue, Zirc, Light Almond",https://hubbellcdn.com/prodimage1200/Image not found_2_1200.jpg,"[['Keystone Snap Fit'], []]",/hubbell/en/p/2487562?queryID=e2c407d4b8e5e07113b1d78eb0adf4bd&indexName=Products,"Fiber Optic Connectors, Snap-Fit,Flush, SC Simplex, Blue, Zirc, Light Almond",['DISCONTINUED']
SFLCSBEW,SFLCSBEW,"Keystone Snap Fit, Snap-Fit, LC Duplex, Zircon Sleeves, Beige, White Housing",https://hubbellcdn.com/prodimage1200/WBP_SFLCW_PRODIMAGE_1200.jpg,"[['Keystone Snap Fit'], []]",/hubbell/en/p/160827?queryID=6da7df3451b48a14ab0d105943e4415c&indexName=Products,"Fiber Optic Connectors, Snap-Fit, LC Duplex, Zircon Sleeves, Beige, White Housing",[]
SFSCSORLA,SFSCSORLA,Title not found,https://hubbellcdn.com/prodimage1200/WBP_SFSCLA_PRODIMAGE_1200.jpg,"[['Keystone Snap Fit'], []]",url not found,"Fiber Optic Connectors, Snap-Fit, SC,Simplex, Zircon Sleeves, Orange, Light Almond Housing",['DISCONTINUED']
SFSCSRBK,SFSCSRBK,"Keystone Snap Fit, Snap-Fit, SC, Simplex, Zircon Sleeves, Red, Black Housing",https://hubbellcdn.com/prodimage1200/WBP_SFSCBK_PRODIMAGE_1200.jpg,"[['Keystone Snap Fit'], []]",/hubbell/en/p/2323324?queryID=0e4b9cd84dc30b6b69af37b057084280&indexName=Products,"Fiber Optic Connectors, Snap-Fit, SC,Simplex, Zircon Sleeves, Red, Black Housing",[]
SFLCSORAL,SFLCSORAL,"Fiber Optic Connectors, Snap-Fit, LC Duplex, Zircon Sleeves, Orange, Almond Housing",https://hubbellcdn.com/prodimage1200/WBP_SFLCAL_PRODIMAGE_1200.jpg,"[['Keystone Snap Fit'], []]",/hubbell/en/p/168479?queryID=9868f67283dc2dac7490200635037977&indexName=Products,"Fiber Optic Connectors, Snap-Fit, LC Duplex, Zircon Sleeves, Orange, Almond Housing",['DISCONTINUED']
